team,season,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win,made_playoffs
CHI,2000,84.7804878,31.2804878,75.36585366,41.65487805,4.146341463,12.59756098,32.34146341,18.07317073,25.47560976,71.88780488,12.58536585,28.32926829,40.91463415,19.95121951,18.98780488,7.87804878,4.670731707,23.26829268,-9.402439024,0.207317073,0
CHI,2001,87.57317073,33.18292683,78.18292683,42.55609756,4.012195122,11.58536585,34.77195122,17.19512195,23.2804878,73.68536585,11.29268293,27.56097561,38.85365854,22.07317073,15.75609756,8.231707317,4.62195122,23.19512195,-9.097560976,0.182926829,0
CHI,2002,89.45121951,34.2804878,79.15853659,43.35487805,3.658536585,10.58536585,33.17560976,17.23170732,23.87804878,72.13170732,11.26829268,28.76829268,40.03658537,22.15853659,15.26829268,7.719512195,4.402439024,22.36585366,-8.536585366,0.256097561,0
CHI,2004,89.69512195,34.12195122,82.35365854,41.60365854,5.231707317,15.31707317,34.66219512,16.2195122,22.36585366,72.27317073,12.7804878,30.7195122,43.5,21.86585366,16.1097561,8.036585366,4.829268293,23.30487805,-6.353658537,0.280487805,0
CHI,2005,94.45121951,34.74390244,80.3902439,43.49146341,6.231707317,17.47560976,35.42682927,18.73170732,24.97560976,74.94390244,12.20731707,31.59756098,43.80487805,21.25609756,16.7195122,7.024390244,4.5,24.73170732,1.06097561,0.573170732,1
CHI,2006,97.80487805,36.63414634,82.15853659,44.8195122,6.829268293,18.01219512,37.61341463,17.70731707,23.98780488,73.62682927,11.04878049,31.73170732,42.7804878,22,14.92682927,6.195121951,4.207317073,24.85365854,0.634146341,0.5,1
CHI,2007,98.7804878,37.14634146,81.25609756,45.81219512,5.853658537,15.08536585,38.93414634,18.63414634,25.40243902,73.4695122,12,31.67073171,43.67073171,22.34146341,15.97560976,7.792682927,5.426829268,23.26829268,5.012195122,0.597560976,1
CHI,2008,97.32926829,36.42682927,83.67073171,43.55487805,5.780487805,15.91463415,36.6,18.69512195,24.74390244,75.59634146,12.80487805,30.2195122,43.02439024,22.08536585,14.59756098,7.743902439,5.231707317,21.75609756,-3.085365854,0.402439024,0
CHI,2009,102.1707317,38.12195122,83.48780488,45.73170732,6.012195122,15.76829268,37.54390244,19.91463415,25.02439024,79.41585366,11.82926829,30.25609756,42.08536585,21.12195122,14.53658537,7.5,5.524390244,20.84146341,-0.280487805,0.5,1
CHI,2010,97.47560976,37.57317073,83.23170732,45.25731707,4.292682927,13,33.60853659,18.03658537,23.92682927,75.3804878,11.42682927,33.1097561,44.53658537,20.7804878,14.32926829,6.475609756,5.829268293,20.09756098,-1.634146341,0.5,1
CHI,2011,98.62195122,37.09756098,80.32926829,46.32317073,6.231707317,17.25609756,36.03292683,18.19512195,24.48780488,74.20121951,11.79268293,32.36585366,44.15853659,22.2804878,14.15853659,7.219512195,5.707317073,19.98780488,7.317073171,0.756097561,1
